epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.09581,1.34465,3.74904,1.44639,0.02479,0.21963,0.14852,0.09667,1.13058,3.95033,1.25891,0.00016362,0.00016362,0.00016362
2,14.6018,1.18103,2.23063,1.33566,0.03853,0.54903,0.41185,0.27132,1.14576,3.33827,1.27942,0.000325231,0.000325231,0.000325231
3,20.9234,1.14617,1.5078,1.30949,0.93495,0.3901,0.59849,0.44674,1.12783,2.43145,1.32969,0.000475443,0.000475443,0.000475443
4,27.4277,1.13783,1.37146,1.28927,0.84974,0.47897,0.58417,0.40025,1.22522,2.22564,1.38143,0.000614257,0.000614257,0.000614257
5,34.8909,1.10498,1.28509,1.27279,0.8731,0.50705,0.59254,0.42121,1.2133,2.01795,1.36269,0.000741671,0.000741671,0.000741671
6,41.4487,1.05523,1.19543,1.22303,0.85775,0.53953,0.6115,0.45031,1.18037,1.86523,1.36449,0.000759015,0.000759015,0.000759015
7,48.7266,1.08315,1.18903,1.23163,0.87898,0.57441,0.61394,0.44058,1.19776,1.7945,1.35014,0.000729018,0.000729018,0.000729018
8,55.0718,1.02601,1.12686,1.20656,0.85558,0.56135,0.59653,0.43727,1.13073,1.63533,1.32431,0.000699021,0.000699021,0.000699021
9,62.3428,1.04402,1.1517,1.22723,0.94544,0.58297,0.62911,0.47498,1.09426,1.45196,1.30811,0.000669024,0.000669024,0.000669024
10,68.8511,1.00427,1.06255,1.19044,0.78012,0.60974,0.63561,0.47441,1.09555,1.28009,1.27594,0.000639027,0.000639027,0.000639027
11,75.8959,0.97171,1.03802,1.1802,0.97506,0.60371,0.63263,0.47468,1.1373,1.31423,1.29289,0.00060903,0.00060903,0.00060903
12,82.4161,0.94425,0.99256,1.17189,0.94996,0.61935,0.63888,0.47773,1.08882,1.23654,1.27539,0.000579033,0.000579033,0.000579033
13,88.8496,0.96209,1.00034,1.17914,0.97046,0.62341,0.6586,0.4965,1.119,1.18738,1.29573,0.000549036,0.000549036,0.000549036
14,96.5109,0.94583,0.98268,1.1704,0.9548,0.6192,0.65552,0.49869,1.0655,1.13242,1.2527,0.000519039,0.000519039,0.000519039
15,102.248,0.93241,0.94739,1.15854,0.97276,0.6243,0.67138,0.50576,1.05032,1.08214,1.25623,0.000489042,0.000489042,0.000489042
16,109.85,0.91524,0.91927,1.13207,0.81163,0.6162,0.65445,0.49999,1.04063,1.07251,1.23885,0.000459045,0.000459045,0.000459045
17,116.886,0.91691,0.945,1.17116,0.96003,0.61639,0.6599,0.50383,1.0343,1.05969,1.23178,0.000429048,0.000429048,0.000429048
18,124.418,0.90103,0.90267,1.13888,0.7989,0.64728,0.67376,0.5042,1.05175,1.0274,1.24427,0.000399051,0.000399051,0.000399051
19,130.264,0.87989,0.84182,1.11266,0.75431,0.6352,0.67018,0.51378,1.01377,0.95099,1.23166,0.000369054,0.000369054,0.000369054
20,136.492,0.88481,0.8392,1.13338,0.67228,0.65974,0.67434,0.51522,1.03987,0.94993,1.23705,0.000339057,0.000339057,0.000339057
21,146.556,0.83015,0.91183,1.13639,0.66517,0.66562,0.6712,0.50667,1.09614,1.09277,1.28667,0.00030906,0.00030906,0.00030906
22,153.209,0.81929,0.85846,1.13115,0.70673,0.64886,0.68294,0.51208,1.06378,0.94181,1.26326,0.000279063,0.000279063,0.000279063
23,159.256,0.80466,0.8327,1.11853,0.68938,0.69856,0.68945,0.5208,1.00342,0.89072,1.23502,0.000249066,0.000249066,0.000249066
24,164.772,0.80223,0.80536,1.10765,0.68404,0.70346,0.68879,0.51948,0.99899,0.86851,1.21945,0.000219069,0.000219069,0.000219069
25,171.522,0.79442,0.79631,1.11376,0.72326,0.6926,0.69438,0.52229,0.98636,0.8553,1.2122,0.000189072,0.000189072,0.000189072
26,176.878,0.76166,0.76147,1.07481,0.7616,0.6975,0.70423,0.52936,0.99453,0.84853,1.21659,0.000159075,0.000159075,0.000159075
27,182.746,0.75906,0.74256,1.08645,0.77584,0.69511,0.7036,0.53277,0.98602,0.85966,1.21011,0.000129078,0.000129078,0.000129078
28,188.564,0.74883,0.71866,1.06083,0.80897,0.71373,0.71242,0.53532,1.01079,0.84933,1.22368,9.9081e-05,9.9081e-05,9.9081e-05
29,194.033,0.72354,0.71515,1.0656,0.84055,0.70634,0.70842,0.53365,1.00642,0.82818,1.21948,6.9084e-05,6.9084e-05,6.9084e-05
30,200.42,0.74329,0.71405,1.05961,0.73956,0.71049,0.70623,0.53328,0.98047,0.81906,1.19999,3.9087e-05,3.9087e-05,3.9087e-05
